movie_id,movie_title,director,genre,review_content,rating
1,Inception,Christopher Nolan,Sci-Fi,"This movie about dreams is mind-bending and brilliant",9
2,The Dark Knight,Christopher Nolan,Action,"Batman faces his greatest challenge with the Joker",10
3,Interstellar,Christopher Nolan,Sci-Fi,"Space exploration with emotional depth and scientific accuracy",8
4,Pulp Fiction,Quentin Tarantino,Crime,"Non-linear storytelling at its finest with great dialogue",9
5,Kill Bill,Quentin Tarantino,Action,"Revenge tale with stylized violence and great cinematography",8
6,Django Unchained,Quentin Tarantino,Western,"A freed slave's journey to rescue his wife",9
7,The Shawshank Redemption,Frank Darabont,Drama,"Hope and friendship in the darkest of places",10
8,The Green Mile,Frank Darabont,Drama,"Supernatural elements in a death row setting",8
9,The Mist,Frank Darabont,Horror,"Creatures in the mist create terror and desperation",7
1,Inception,Christopher Nolan,Sci-Fi,"Dream within a dream concept executed perfectly",9
2,The Dark Knight,Christopher Nolan,Action,"Heath Ledger's Joker performance is legendary",10
4,Pulp Fiction,Quentin Tarantino,Crime,"Samuel L. Jackson and John Travolta have great chemistry",9
